Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,"3,072,698,431","3,467,819,268","3,645,744,806","3,735,106,511","3,905,585,240","3,651,861,827","3,052,393,722","3,392,021,127","3,702,393,744","3,863,563,962","4,229,787,379","4,616,223,404","4,751,063,830","5,200,265,957","5,567,553,457","5,849,467,819","6,101,861,436","6,349,202,394","6,183,776,596","6,621,010,372","9,062,906,915","8,976,207,713","9,632,155,053","11,074,822,074","13,150,166,755","15,968,726,862","18,505,053,191","21,730,000,000","25,710,877,660","22,938,218,085","25,713,271,277","29,044,069,149","30,756,462,766","32,897,606,383","33,851,063,830","32,221,489,362",
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,"169,802,258","190,096,177","212,252,822","237,742,769","266,664,054","300,392,163","340,000,006","390,196,086","444,901,969","528,137,265","538,423,168","573,400,000","590,900,000","670,900,000","632,400,000","596,200,000","642,100,000","713,000,000","832,400,000","1,139,800,100","1,335,300,000","1,426,500,000","1,578,300,000","1,732,800,000","2,041,100,000","2,320,699,900","2,472,500,000","2,713,999,900","2,817,900,000","3,062,000,000","3,166,000,000","3,111,160,000","3,109,000,000","3,092,000,000","3,259,000,000","3,429,000,000","3,609,000,000","4,961,119,000","5,353,524,000","6,019,972,000","6,327,552,000","6,516,651,000","6,957,996,000","6,949,317,000","7,094,413,000","7,706,222,000","7,965,588,000","8,318,996,000","8,246,650,000","7,820,420,000","7,909,580,000","7,889,750,000","8,234,470,000","8,431,750,000","8,510,500,000","8,884,441,432",
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,255,802,469","1,866,572,954","2,786,045,322","3,671,816,504","4,116,699,437","4,685,729,739","5,505,984,456","5,748,990,666","6,651,226,179","8,370,020,196","10,022,840,635","11,225,138,297","12,866,524,918","15,776,422,673","19,101,454,464","17,600,630,727","17,163,117,551","18,628,022,743","17,207,367,626","18,154,290,272","18,521,476,055","15,995,392,118",
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,369,598,958","17,813,389,815","17,022,180,272","16,280,372,553","14,931,599,418","13,972,637,603","14,756,861,538","14,128,412,417","15,222,014,828","12,138,485,329","12,736,856,485","12,354,820,144","14,594,925,393","17,825,436,035","23,141,587,718","30,210,091,837","36,961,821,894","45,275,747,861","60,752,177,439","49,208,656,976","55,220,932,614","59,734,593,905","63,615,445,567","73,097,619,637","76,103,961,203","54,608,962,635",
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,"28,072,480","29,965,002","31,857,594","33,750,116","36,194,588","40,069,932","44,405,596","47,379,309","44,910,181","47,305,390","53,233,534","59,207,318","66,062,499","78,343,559","103,216,372","118,066,302","96,905,829","117,650,000","136,300,000","151,800,000","194,750,000","192,900,000","179,250,000","189,000,000","210,900,000","209,150,000","227,850,000","276,550,000","314,900,000","363,150,000","413,050,000","444,720,750","518,239,100","559,858,250","580,863,700","620,140,400","641,383,800","654,314,350","688,992,450","732,732,350","832,072,450","871,860,600","932,551,850","990,350,000","1,057,850,000","1,114,202,700","1,217,442,150","1,290,542,550","1,368,625,150","1,336,957,250","1,397,113,450","1,486,712,300","1,573,618,750","1,625,828,100","1,717,861,750","1,763,000,000",
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,"84,466,654","89,249,987","94,149,986","96,366,652","107,566,651","114,339,049","134,173,374","155,102,985","150,000,000","164,900,000","186,300,000","211,100,000","235,400,000","269,500,000","312,600,000","345,000,000","386,300,000","447,000,000","475,800,000","517,200,000","613,299,968","739,100,032","785,500,032","889,400,000","985,699,968","1,039,500,032","1,173,500,032","1,296,499,968","1,415,100,032","1,501,500,032","1,592,400,000","1,634,899,968","1,679,900,032","1,820,359,936","1,867,160,064","2,030,749,952","2,695,390,000","2,932,827,000","3,130,748,000","3,324,433,000","3,480,219,000","3,680,483,000","3,937,228,000","4,186,525,000","4,484,703,000","4,868,136,000","5,414,299,000","5,895,048,000","6,109,928,000","5,806,378,000","5,744,414,000","5,550,771,000","5,537,537,000","5,573,710,000",,,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,"563,110,052","612,518,907","669,722,541","721,142,957","812,543,073","908,874,537","994,044,554","1,084,059,815","908,874,537","964,615,699","1,017,171,717","1,095,454,545","1,257,615,645","1,263,018,491","2,100,249,875","2,404,697,651","2,732,083,958","3,227,436,282","3,758,220,890","4,421,343,606","4,537,487,843","5,891,606,676","5,594,118,400","5,422,656,262","6,169,481,549","5,377,277,407","3,959,379,488","4,347,956,299","4,597,615,563","4,715,978,868","4,867,582,620","5,343,274,312","5,643,893,347","5,734,676,561","5,981,244,887","6,715,220,507","7,396,966,657","7,925,673,448","8,497,545,598","8,285,075,872","8,397,912,509","8,141,537,938","7,905,485,216","8,082,364,868","8,773,451,739","9,549,077,869","11,451,869,165","13,120,183,157","16,674,324,634","17,339,992,165","19,649,631,308","23,963,033,444","27,084,497,540","30,659,338,929","32,996,187,988","33,196,819,572",
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,"15,165,569,913","15,236,854,859","19,926,293,839","23,021,477,292","21,211,892,260","21,790,035,117","27,062,716,578","30,591,834,054","33,875,881,876","37,458,898,244","42,327,600,098","49,204,456,700","58,539,008,786","79,279,057,731","105,136,000,000","123,709,000,000","152,678,000,000","176,171,000,000","200,801,000,000","224,969,000,000","235,025,000,000","263,561,000,000","281,682,000,000","203,305,000,000","209,024,000,000","222,943,000,000","268,137,000,000","294,084,000,000","330,397,000,000","425,595,000,000","461,952,000,000","602,860,000,000","400,599,000,000","437,799,000,000","558,112,000,000","785,643,000,000","850,426,000,000","883,199,000,000","863,723,000,000","599,389,000,000","655,421,000,000","559,373,000,000","507,963,000,000","558,320,000,000","669,316,000,000","891,630,000,000","1,107,640,000,000","1,397,080,000,000","1,695,820,000,000","1,667,020,000,000","2,208,870,000,000","2,614,570,000,000","2,460,660,000,000","2,465,770,000,000","2,417,050,000,000","1,774,720,000,000",
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,"1,012,280,571","1,114,204,695","1,163,923,780","1,236,016,453","1,346,890,013","1,409,536,060","1,547,755,116","1,704,370,234","1,812,757,839","2,006,165,080","2,012,131,370","2,020,583,615","1,957,000,000","2,063,342,028","2,151,344,808","2,262,218,368","2,411,872,814","2,549,097,488","2,874,260,304","3,011,982,170","3,121,500,000","3,116,500,000","3,169,500,000","3,275,000,000","3,514,500,000","3,897,500,000","4,303,500,000","4,546,000,000","4,595,000,000","4,602,000,000","4,445,500,000","4,358,000,000","4,313,000,000","4,281,000,000","4,354,500,000","4,451,000,000",
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,"114,040,246","132,758,395","139,030,446","160,819,287","161,211,290","179,080,099","197,523,179","270,818,556","433,092,004","1,073,577,086","1,168,304,306","1,423,061,357","1,732,721,161","1,941,600,704","2,803,780,006","4,928,824,958","4,366,213,850","4,264,252,336","3,844,723,142","3,782,523,088","3,523,612,563","2,358,592,817","2,754,463,438","2,690,717,551","2,985,467,979","3,520,551,724","3,701,667,053","4,183,548,189","4,105,706,152","4,087,337,960","4,734,020,037","5,115,602,837","5,197,332,974","4,051,147,228","4,600,000,000","6,001,153,306","5,601,090,584","5,843,329,108","6,557,333,085","7,872,333,215","9,531,402,848","11,470,703,002","12,247,694,247","14,393,099,069","10,732,366,286","12,370,616,062","16,691,533,190","16,953,505,122","16,110,693,734","17,104,656,669","15,492,035,784",
